C	V	Word	OrigRows
1	1	The	1
1	1	elder	2
1	1	to	3
1	1	the	4
1	1	beloved	5
1	1	Gaius	3
1	1	whom	6
1	1	I	7
1	1	love	8
1	1	in	9
1	1	truth	10
1	2	Beloved	11
1	2	I	14
1	2	pray	14
1	2	concerning	12
1	2	everything	13
1	2	for	14
1	2	you	15
1	2	to	16
1	2	prosper	16
1	2	and	17
1	2	to	18
1	2	be	18
1	2	healthy	18
1	2	just	19
1	2	as	19
1	2	your	21
1	2	soul	22;23
1	2	prospers	20
1	3	For	25
1	3	I	24
1	3	rejoiced	24
1	3	greatly	26
1	3	at	27
1	3	the	27
1	3	coming	27
1	3	of	28
1	3	the	28
1	3	brothers	28
1	3	and	29
1	3	bearing	30
1	3	witness	30
1	3	to	30
1	3	your	31
1	3	truth	32;33
1	3	just	34
1	3	as	34
1	3	you	35
1	3	are	38
1	3	walking	38
1	3	in	36
1	3	truth	37
1	4	I	42
1	4	have	42
1	4	no	41
1	4	greater	39
1	4	joy	43
1	4	than	39
1	4	these	40
1	4	things	40
1	4	that	44
1	4	I	45
1	4	hear	45
1	4	my	46;47
1	4	children	48
1	4	are	52
1	4	walking	52
1	4	in	49
1	4	the	50
1	4	truth	51
1	5	Beloved	53
1	5	you	55
1	5	are	55
1	5	doing	55
1	5	a	54
1	5	faithful	54
1	5	thing	54
1	5	whenever	56;57
1	5	you	58
1	5	might	58
1	5	work	58
1	5	for	59
1	5	the	60
1	5	brothers	61
1	5	and	62
1	5	this	63
1	5	for	64
1	5	strangers	64
1	6	the	65
1	6	ones	65
1	6	having	66
1	6	borne	66
1	6	witness	66
1	6	to	68;69
1	6	your	67
1	6	love	68;69
1	6	in	70
1	6	the	70
1	6	presence	70
1	6	of	71
1	6	the	71
1	6	church	71
1	6	You	74
1	6	will	74
1	6	do	74
1	6	well	73
1	6	to	75
1	6	send	75
1	6	them	72
1	6	on	75
1	6	their	75
1	6	journey	75
1	6	in	76
1	6	a	76
1	6	manner	76
1	6	worthy	76
1	6	of	77;78
1	6	God	77;78
1	7	because	80
1	7	they	83
1	7	went	83
1	7	out	83
1	7	for	79
1	7	the	79
1	7	sake	79
1	7	of	81;82
1	7	the	81;82
1	7	name	81;82
1	7	receiving	85
1	7	nothing	84
1	7	from	86
1	7	the	87
1	7	Gentiles	88
1	8	Therefore	90
1	8	we	91
1	8	ourselves	89
1	8	ought	91
1	8	to	92
1	8	welcome	92
1	8	such	94
1	8	as	94
1	8	these	93
1	8	so	95
1	8	that	95
1	8	we	97
1	8	become	97
1	8	fellow	96
1	8	workers	96
1	8	for	98;99
1	8	the	98;99
1	8	truth	98;99
1	9	I	100
1	9	wrote	100
1	9	something	101
1	9	to	102;103
1	9	the	102;103
1	9	church	102;103
1	9	but	104
1	9	Diotrephes	108
1	9	the	105
1	9	one	105
1	9	loving	106
1	9	to	106
1	9	be	106
1	9	first	106
1	9	among	107
1	9	them	107
1	9	does	110
1	9	not	109
1	9	accept	110
1	9	us	111
1	10	For	112;113
1	10	this	112;113
1	10	reason	112;113
1	10	if	114
1	10	I	115
1	10	come	115
1	10	I	116
1	10	will	116
1	10	call	116
1	10	attention	116
1	10	to	116
1	10	his	117
1	10	works	118;119
1	10	that	120
1	10	he	121
1	10	is	121
1	10	doing	121
1	10	accusing	124
1	10	us	125
1	10	with	122
1	10	evil	123
1	10	words	122
1	10	But	126
1	10	not	127
1	10	being	128
1	10	satisfied	128
1	10	with	129
1	10	these	130
1	10	things	130
1	10	he	132
1	10	does	133
1	10	not	131
1	10	receive	133
1	10	the	134
1	10	brothers	135
1	10	and	136
1	10	he	139
1	10	stops	139
1	10	the	137
1	10	ones	137
1	10	willing	138
1	10	and	140
1	10	puts	144
1	10	them	144
1	10	out	141
1	10	of	142;143
1	10	the	142;143
1	10	church	142;143
1	11	Beloved	145
1	11	do	147
1	11	not	146
1	11	imitate	147
1	11	what	148
1	11	is	148
1	11	evil	149
1	11	but	150
1	11	what	151
1	11	is	151
1	11	good	152
1	11	The	153
1	11	one	153
1	11	doing	154
1	11	good	154
1	11	is	158
1	11	from	155
1	11	God	156;157
1	11	the	159
1	11	one	159
1	11	doing	160
1	11	evil	160
1	11	has	162
1	11	not	161
1	11	seen	162
1	11	God	163;164
1	12	Demetrius	165
1	12	has	166
1	12	been	166
1	12	borne	166
1	12	witness	166
1	12	to	166
1	12	by	167
1	12	all	168
1	12	and	169
1	12	by	170
1	12	the	172
1	12	truth	173
1	12	itself	171
1	12	And	176
1	12	we	175
1	12	also	174
1	12	bear	177
1	12	witness	177
1	12	and	178
1	12	you	179
1	12	know	179
1	12	that	180
1	12	our	183
1	12	testimony	181;182
1	12	is	185
1	12	true	184
1	13	I	187
1	13	have	187
1	13	many	186
1	13	things	186
1	13	to	188
1	13	write	188
1	13	to	189
1	13	you	189
1	13	but	190
1	13	I	192
1	13	am	192
1	13	not	191
1	13	wishing	192
1	13	to	198
1	13	write	198
1	13	them	198
1	13	to	197
1	13	you	197
1	13	with	193
1	13	ink	194
1	13	and	195
1	13	pen	196
1	14	But	200
1	14	I	199
1	14	expect	199
1	14	to	203
1	14	see	203
1	14	you	202
1	14	soon	201
1	14	and	204
1	14	we	208
1	14	will	208
1	14	speak	208
1	14	mouth	205
1	14	to	206
1	14	mouth	207
1	15	Peace	209
1	15	to	210
1	15	you	210
1	15	The	213
1	15	friends	214
1	15	greet	211
1	15	you	212
1	15	Greet	215
1	15	the	216
1	15	friends	217
1	15	by	218
1	15	name	219
